Lambda,Avg Total Jobs Processed,Std Dev
0.5,4698.0,20.848661028149188
1.0,7424.0,124.65418832380509
2.0,12876.0,79.7036176510619
3.0,18060.0,38.19249489974001
4.0,19127.333333333332,93.89829012761035
5.0,19323.0,52.23664103545199
6.0,19336.0,86.45615459102184
